unique_id,Indicator_id,Benzene_AQI646,Formald._AQI647,PM2.5_AQI365,NO2_AQI375,O3_AQI386,SO2_AQI383,TD,Measure,geo_type_name,geo_join_id,geo_place_name,Lat.,Long.,Year,time_period,start_date,Ranking_per_NYC Mean,Ranking_per_NAAQS,Ranking_Clean #1to#7_per NAAQS,Ranking_Clean #1to#7_per NYC Mean
179647,365,0,0,9.81,0,0,0,0,Mean,Borough,5,Staten Island,40.57902,-74.15154,2008,Annual Average 2009,12/1/08,C,C,4,4
179652,365,0,0,8.8,0,0,0,0,Mean,Borough,5,Staten Island,40.57902,-74.15154,2009,Annual Average 2010,12/1/09,C,B,5,4
179657,365,0,0,9.44,0,0,0,0,Mean,Borough,5,Staten Island,40.57902,-74.15154,2010,Annual Average 2011,12/1/10,C,C,4,4
179662,365,0,0,8.35,0,0,0,0,Mean,Borough,5,Staten Island,40.57902,-74.15154,2011,Annual Average 2012,12/1/11,C,B,5,4
179667,365,0,0,7.98,0,0,0,0,Mean,Borough,5,Staten Island,40.57902,-74.15154,2012,Annual Average 2013,12/1/12,C,B,5,4
211439,365,0,0,8.41,0,0,0,0,Mean,Borough,5,Staten Island,40.57902,-74.15154,2013,Annual Average 2014,12/1/13,C,B,5,4
333949,365,0,0,7.69,0,0,0,0,Mean,Borough,5,Staten Island,40.57902,-74.15154,2015,Annual Average 2015,1/1/15,C,B,5,4
410734,365,0,0,6.84,0,0,0,0,Mean,Borough,5,Staten Island,40.57902,-74.15154,2015,Annual Average 2016,12/31/15,B,B,5,5
547366,365,0,0,6.81,0,0,0,0,Mean,Borough,5,Staten Island,40.57902,-74.15154,2017,Annual Average 2017,1/1/17,B,B,5,5
605660,365,0,0,6.4,0,0,0,0,Mean,Borough,5,Staten Island,40.57902,-74.15154,2018,Annual Average 2018,1/1/18,B,B,5,5
179572,365,0,0,10.5,0,0,0,0,Mean,Borough,5,Staten Island,40.57902,-74.15154,2009,Summer 2009,6/1/09,D,C,4,3
179577,365,0,0,11.43,0,0,0,0,Mean,Borough,5,Staten Island,40.57902,-74.15154,2010,Summer 2010,6/1/10,D,C,4,3
179582,365,0,0,11.09,0,0,0,0,Mean,Borough,5,Staten Island,40.57902,-74.15154,2011,Summer 2011,6/1/11,D,C,4,3
179587,365,0,0,9.9,0,0,0,0,Mean,Borough,5,Staten Island,40.57902,-74.15154,2012,Summer 2012,6/1/12,C,C,4,4
179592,365,0,0,9.32,0,0,0,0,Mean,Borough,5,Staten Island,40.57902,-74.15154,2013,Summer 2013,6/1/13,C,C,4,4
211424,365,0,0,7.85,0,0,0,0,Mean,Borough,5,Staten Island,40.57902,-74.15154,2014,Summer 2014,6/1/14,C,B,5,4
333950,365,0,0,8.68,0,0,0,0,Mean,Borough,5,Staten Island,40.57902,-74.15154,2015,Summer 2015,6/1/15,C,B,5,4
410733,365,0,0,7.8,0,0,0,0,Mean,Borough,5,Staten Island,40.57902,-74.15154,2016,Summer 2016,5/31/16,C,B,5,4
547365,365,0,0,8.13,0,0,0,0,Mean,Borough,5,Staten Island,40.57902,-74.15154,2017,Summer 2017,6/1/17,C,B,5,4
605661,365,0,0,7.53,0,0,0,0,Mean,Borough,5,Staten Island,40.57902,-74.15154,2018,Summer 2018,6/1/18,C,B,5,4
179497,365,0,0,11.82,0,0,0,0,Mean,Borough,5,Staten Island,40.57902,-74.15154,2008,Winter 2008-09,12/1/08,D,C,4,3
179502,365,0,0,9.07,0,0,0,0,Mean,Borough,5,Staten Island,40.57902,-74.15154,2009,Winter 2009-10,12/1/09,C,C,4,4
179507,365,0,0,11.68,0,0,0,0,Mean,Borough,5,Staten Island,40.57902,-74.15154,2010,Winter 2010-11,12/1/10,D,C,4,3
179512,365,0,0,8.42,0,0,0,0,Mean,Borough,5,Staten Island,40.57902,-74.15154,2011,Winter 2011-12,12/1/11,C,B,5,4
179517,365,0,0,9.72,0,0,0,0,Mean,Borough,5,Staten Island,40.57902,-74.15154,2012,Winter 2012-13,12/1/12,C,C,4,4
211409,365,0,0,11.78,0,0,0,0,Mean,Borough,5,Staten Island,40.57902,-74.15154,2013,Winter 2013-14,12/1/13,D,C,4,3
333951,365,0,0,8.39,0,0,0,0,Mean,Borough,5,Staten Island,40.57902,-74.15154,2014,Winter 2014-15,12/1/14,C,B,5,4
410732,365,0,0,7.46,0,0,0,0,Mean,Borough,5,Staten Island,40.57902,-74.15154,2015,Winter 2015-16,12/1/15,C,B,5,4
547367,365,0,0,7.07,0,0,0,0,Mean,Borough,5,Staten Island,40.57902,-74.15154,2016,Winter 2016-17,12/1/16,B,B,5,5
605662,365,0,0,7.79,0,0,0,0,Mean,Borough,5,Staten Island,40.57902,-74.15154,2017,Winter 2017-18,12/1/17,C,B,5,4
179437,375,0,0,0,27.34,0,0,0,Mean,Borough,5,Staten Island,40.57902,-74.15154,2011,Annual Average 2012,12/1/11,B,A,6,5
179287,375,0,0,0,33.71,0,0,0,Mean,Borough,5,Staten Island,40.57902,-74.15154,2011,Winter 2011-12,12/1/11,C,A,6,4
179357,375,0,0,0,21.75,0,0,0,Mean,Borough,5,Staten Island,40.57902,-74.15154,2011,Summer 2011,6/1/11,B,A+,7,5
179272,375,0,0,0,40.66,0,0,0,Mean,Borough,5,Staten Island,40.57902,-74.15154,2008,Winter 2008-09,12/1/08,C,A,6,4
179277,375,0,0,0,35.98,0,0,0,Mean,Borough,5,Staten Island,40.57902,-74.15154,2009,Winter 2009-10,12/1/09,C,A,6,4
179292,375,0,0,0,35.96,0,0,0,Mean,Borough,5,Staten Island,40.57902,-74.15154,2012,Winter 2012-13,12/1/12,C,A,6,4
179347,375,0,0,0,24.8,0,0,0,Mean,Borough,5,Staten Island,40.57902,-74.15154,2009,Summer 2009,6/1/09,B,A+,7,5
179362,375,0,0,0,20,0,0,0,Mean,Borough,5,Staten Island,40.57902,-74.15154,2012,Summer 2012,6/1/12,A,A+,7,6
179367,375,0,0,0,18.82,0,0,0,Mean,Borough,5,Staten Island,40.57902,-74.15154,2013,Summer 2013,6/1/13,A,A+,7,6
179422,375,0,0,0,31.66,0,0,0,Mean,Borough,5,Staten Island,40.57902,-74.15154,2008,Annual Average 2009,12/1/08,C,A,6,4
179427,375,0,0,0,28.86,0,0,0,Mean,Borough,5,Staten Island,40.57902,-74.15154,2009,Annual Average 2010,12/1/09,B,A,6,5
179442,375,0,0,0,25.94,0,0,0,Mean,Borough,5,Staten Island,40.57902,-74.15154,2012,Annual Average 2013,12/1/12,B,A,6,5
211364,375,0,0,0,40.97,0,0,0,Mean,Borough,5,Staten Island,40.57902,-74.15154,2013,Winter 2013-14,12/1/13,C,A,6,4
211379,375,0,0,0,17.41,0,0,0,Mean,Borough,5,Staten Island,40.57902,-74.15154,2014,Summer 2014,6/1/14,A,A+,7,6
211394,375,0,0,0,26.66,0,0,0,Mean,Borough,5,Staten Island,40.57902,-74.15154,2013,Annual Average 2014,12/1/13,B,A,6,5
336487,375,0,0,0,25.79,0,0,0,Mean,Borough,5,Staten Island,40.57902,-74.15154,2015,Annual Average 2015,1/1/15,B,A,6,5
336488,375,0,0,0,16.64,0,0,0,Mean,Borough,5,Staten Island,40.57902,-74.15154,2015,Summer 2015,6/1/15,A,A+,7,6
336489,375,0,0,0,37.13,0,0,0,Mean,Borough,5,Staten Island,40.57902,-74.15154,2014,Winter 2014-15,12/1/14,C,A,6,4
412424,375,0,0,0,33.97,0,0,0,Mean,Borough,5,Staten Island,40.57902,-74.15154,2015,Winter 2015-16,12/1/15,C,A,6,4
412425,375,0,0,0,17.24,0,0,0,Mean,Borough,5,Staten Island,40.57902,-74.15154,2016,Summer 2016,5/31/16,A,A+,7,6
412426,375,0,0,0,25.32,0,0,0,Mean,Borough,5,Staten Island,40.57902,-74.15154,2015,Annual Average 2016,12/31/15,B,A,6,5
549757,375,0,0,0,17.77,0,0,0,Mean,Borough,5,Staten Island,40.57902,-74.15154,2017,Summer 2017,6/1/17,A,A+,7,6
549758,375,0,0,0,25.14,0,0,0,Mean,Borough,5,Staten Island,40.57902,-74.15154,2017,Annual Average 2017,1/1/17,B,A,6,5
549759,375,0,0,0,35.19,0,0,0,Mean,Borough,5,Staten Island,40.57902,-74.15154,2016,Winter 2016-17,12/1/16,C,A,6,4
602699,375,0,0,0,24.29,0,0,0,Mean,Borough,5,Staten Island,40.57902,-74.15154,2018,Annual Average 2018,1/1/18,B,A+,7,5
602700,375,0,0,0,15.47,0,0,0,Mean,Borough,5,Staten Island,40.57902,-74.15154,2018,Summer 2018,6/1/18,A,A+,7,6
602701,375,0,0,0,35.57,0,0,0,Mean,Borough,5,Staten Island,40.57902,-74.15154,2017,Winter 2017-18,12/1/17,C,A,6,4
179432,375,0,0,0,30.4,0,0,0,Mean,Borough,5,Staten Island,40.57902,-74.15154,2010,Annual Average 2011,12/1/10,B,A,6,5
179352,375,0,0,0,22.62,0,0,0,Mean,Borough,5,Staten Island,40.57902,-74.15154,2010,Summer 2010,6/1/10,B,A+,7,5
179282,375,0,0,0,43.39,0,0,0,Mean,Borough,5,Staten Island,40.57902,-74.15154,2010,Winter 2010-11,12/1/10,D,A,6,3
179207,383,0,0,0,0,0,4.66,0,Mean,Borough,5,Staten Island,40.57902,-74.15154,2010,Winter 2010-11,12/1/10,B,A+,7,5
179197,383,0,0,0,0,0,5.58,0,Mean,Borough,5,Staten Island,40.57902,-74.15154,2008,Winter 2008-09,12/1/08,C,A+,7,4
179202,383,0,0,0,0,0,3.07,0,Mean,Borough,5,Staten Island,40.57902,-74.15154,2009,Winter 2009-10,12/1/09,A,A+,7,6
179212,383,0,0,0,0,0,2.12,0,Mean,Borough,5,Staten Island,40.57902,-74.15154,2011,Winter 2011-12,12/1/11,A,A+,7,6
179217,383,0,0,0,0,0,1.13,0,Mean,Borough,5,Staten Island,40.57902,-74.15154,2012,Winter 2012-13,12/1/12,A+,A+,7,7
211349,383,0,0,0,0,0,2.17,0,Mean,Borough,5,Staten Island,40.57902,-74.15154,2013,Winter 2013-14,12/1/13,A,A+,7,6
337748,383,0,0,0,0,0,0.71,0,Mean,Borough,5,Staten Island,40.57902,-74.15154,2014,Winter 2014-15,12/1/14,A+,A+,7,7
405225,383,0,0,0,0,0,0.31,0,Mean,Borough,5,Staten Island,40.57902,-74.15154,2015,Winter 2015-16,12/1/15,A+,A+,7,7
131842,386,0,0,0,0,60,0,0,Mean,Borough,5,Staten Island,40.57902,-74.15154,2009,2-Year Summer Average 2009-2010,6/1/09,C,A,6,4
219991,386,0,0,0,0,68.32,0,0,Mean,Borough,5,Staten Island,40.57902,-74.15154,2011,Summer 2011,6/1/11,D,A,6,3
219989,386,0,0,0,0,53.44,0,0,Mean,Borough,5,Staten Island,40.57902,-74.15154,2009,Summer 2009,6/1/09,C,A,6,4
219992,386,0,0,0,0,67.54,0,0,Mean,Borough,5,Staten Island,40.57902,-74.15154,2012,Summer 2012,6/1/12,D,A,6,3
219993,386,0,0,0,0,62.6,0,0,Mean,Borough,5,Staten Island,40.57902,-74.15154,2013,Summer 2013,6/1/13,D,A,6,3
219994,386,0,0,0,0,62.82,0,0,Mean,Borough,5,Staten Island,40.57902,-74.15154,2014,Summer 2014,6/1/14,D,A,6,3
338171,386,0,0,0,0,65.18,0,0,Mean,Borough,5,Staten Island,40.57902,-74.15154,2015,Summer 2015,6/1/15,D,A,6,3
411993,386,0,0,0,0,70.22,0,0,Mean,Borough,5,Staten Island,40.57902,-74.15154,2016,Summer 2016,5/31/16,D,B,5,3
549326,386,0,0,0,0,56.92,0,0,Mean,Borough,5,Staten Island,40.57902,-74.15154,2017,Summer 2017,6/1/17,C,A,6,4
605229,386,0,0,0,0,59.62,0,0,Mean,Borough,5,Staten Island,40.57902,-74.15154,2018,Summer 2018,6/1/18,C,A,6,4
219990,386,0,0,0,0,70.34,0,0,Mean,Borough,5,Staten Island,40.57902,-74.15154,2010,Summer 2010,6/1/10,D,B,5,3
130732,646,1.6,0,0,0,0,0,0,Annual Average Concentration,Borough,5,Staten Island,40.57902,-74.15154,2005,2005,1/1/05,C,A,6,4
315589,646,1.2,0,0,0,0,0,0,Annual Average Concentration,Borough,5,Staten Island,40.57902,-74.15154,2011,2011,1/1/11,B,A+,7,5
130780,647,0,2.3,0,0,0,0,0,Annual Average Concentration,Borough,5,Staten Island,40.57902,-74.15154,2005,2005,1/1/05,D,C,4,3
315637,647,0,1.8,0,0,0,0,0,Annual Average Concentration,Borough,5,Staten Island,40.57902,-74.15154,2011,2011,1/1/11,C,B,5,4
325197,643,0,0,0,0,0,0,9.7,per kmsq,Borough,5,Staten Island,40.57902,-74.15154,2016,2016,1/1/16,,,,
170221,365,0,0,9.85,0,0,0,0,Mean,CD,502,South Beach and Willowbrook (CD2),40.59955,-74.15014,2008,Annual Average 2009,12/1/08,C,C,4,0
170280,365,0,0,8.8,0,0,0,0,Mean,CD,502,South Beach and Willowbrook (CD2),40.59955,-74.15014,2009,Annual Average 2010,12/1/09,C,B,5,0
170339,365,0,0,9.46,0,0,0,0,Mean,CD,502,South Beach and Willowbrook (CD2),40.59955,-74.15014,2010,Annual Average 2011,12/1/10,C,C,4,0
170398,365,0,0,8.35,0,0,0,0,Mean,CD,502,South Beach and Willowbrook (CD2),40.59955,-74.15014,2011,Annual Average 2012,12/1/11,C,B,5,0
170457,365,0,0,8.05,0,0,0,0,Mean,CD,502,South Beach and Willowbrook (CD2),40.59955,-74.15014,2012,Annual Average 2013,12/1/12,C,B,5,0
214165,365,0,0,8.49,0,0,0,0,Mean,CD,502,South Beach and Willowbrook (CD2),40.59955,-74.15014,2013,Annual Average 2014,12/1/13,C,B,5,0
334354,365,0,0,7.8,0,0,0,0,Mean,CD,502,South Beach and Willowbrook (CD2),40.59955,-74.15014,2015,Annual Average 2015,1/1/15,C,B,5,0
411139,365,0,0,6.89,0,0,0,0,Mean,CD,502,South Beach and Willowbrook (CD2),40.59955,-74.15014,2015,Annual Average 2016,12/31/15,B,B,5,0
547771,365,0,0,6.89,0,0,0,0,Mean,CD,502,South Beach and Willowbrook (CD2),40.59955,-74.15014,2017,Annual Average 2017,1/1/17,B,B,5,0
606065,365,0,0,6.49,0,0,0,0,Mean,CD,502,South Beach and Willowbrook (CD2),40.59955,-74.15014,2018,Annual Average 2018,1/1/18,B,B,5,0
169336,365,0,0,10.56,0,0,0,0,Mean,CD,502,South Beach and Willowbrook (CD2),40.59955,-74.15014,2009,Summer 2009,6/1/09,D,C,4,0
169395,365,0,0,11.51,0,0,0,0,Mean,CD,502,South Beach and Willowbrook (CD2),40.59955,-74.15014,2010,Summer 2010,6/1/10,D,C,4,0
169454,365,0,0,11.15,0,0,0,0,Mean,CD,502,South Beach and Willowbrook (CD2),40.59955,-74.15014,2011,Summer 2011,6/1/11,D,C,4,0
169513,365,0,0,9.97,0,0,0,0,Mean,CD,502,South Beach and Willowbrook (CD2),40.59955,-74.15014,2012,Summer 2012,6/1/12,D,C,4,0
169572,365,0,0,9.41,0,0,0,0,Mean,CD,502,South Beach and Willowbrook (CD2),40.59955,-74.15014,2013,Summer 2013,6/1/13,C,C,4,0
213988,365,0,0,7.93,0,0,0,0,Mean,CD,502,South Beach and Willowbrook (CD2),40.59955,-74.15014,2014,Summer 2014,6/1/14,C,B,5,0
334355,365,0,0,8.77,0,0,0,0,Mean,CD,502,South Beach and Willowbrook (CD2),40.59955,-74.15014,2015,Summer 2015,6/1/15,C,B,5,0
411138,365,0,0,7.92,0,0,0,0,Mean,CD,502,South Beach and Willowbrook (CD2),40.59955,-74.15014,2016,Summer 2016,5/31/16,C,B,5,0
547770,365,0,0,8.17,0,0,0,0,Mean,CD,502,South Beach and Willowbrook (CD2),40.59955,-74.15014,2017,Summer 2017,6/1/17,C,B,5,0
